Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,Gender,HourlyRate,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age Category,Income Category
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,Female,94,Sales Executive,Single,5993,19479,8,Yes,11,3,80,8,0,6,4,0,5,41 - 50,5k - 10k
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,2,Male,61,Research Scientist,Married,5130,24907,1,No,23,4,80,10,3,10,7,1,7,41 - 50,5k - 10k
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,92,Laboratory Technician,Single,2090,2396,6,Yes,15,3,80,7,3,0,0,0,0,31 - 40,<5k
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,5,Female,56,Research Scientist,Married,2909,23159,1,Yes,11,3,80,8,3,8,7,3,0,31 - 40,<5k
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,7,Male,40,Laboratory Technician,Married,3468,16632,9,No,12,3,80,6,3,2,2,2,2,18 - 30,<5k
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,8,Male,79,Laboratory Technician,Single,3068,11864,0,No,13,3,80,8,2,7,7,3,6,31 - 40,<5k
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,10,Female,81,Laboratory Technician,Married,2670,9964,4,Yes,20,4,80,12,3,1,0,0,0,51 - 64,<5k
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,11,Male,67,Laboratory Technician,Divorced,2693,13335,1,No,22,4,80,1,2,1,0,0,0,18 - 30,<5k
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,12,Male,44,Manufacturing Director,Single,9526,8787,0,No,21,4,80,10,2,9,7,1,8,31 - 40,5k - 10k
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,13,Male,94,Healthcare Representative,Married,5237,16577,6,No,13,3,80,17,3,7,7,7,7,31 - 40,5k - 10k
35,No,Travel_Rarely,809,Research & Development,16,3,Medical,14,Male,84,Laboratory Technician,Married,2426,16479,0,No,13,3,80,6,5,5,4,0,3,31 - 40,<5k
29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,15,Female,49,Laboratory Technician,Single,4193,12682,0,Yes,12,3,80,10,3,9,5,0,8,18 - 30,<5k
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,16,Male,31,Research Scientist,Divorced,2911,15170,1,No,17,3,80,5,1,5,2,4,3,31 - 40,<5k
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,18,Male,93,Laboratory Technician,Divorced,2661,8758,0,No,11,3,80,3,2,2,2,1,2,31 - 40,<5k
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,19,Male,50,Laboratory Technician,Single,2028,12947,5,Yes,14,3,80,6,4,4,2,0,3,18 - 30,<5k
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,20,Female,51,Manufacturing Director,Divorced,9980,10195,1,No,11,3,80,10,1,10,9,8,8,18 - 30,5k - 10k
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,21,Male,80,Research Scientist,Divorced,3298,15053,0,Yes,12,3,80,7,5,6,2,0,5,31 - 40,<5k
22,No,Non-Travel,1123,Research & Development,16,2,Medical,22,Male,96,Laboratory Technician,Divorced,2935,7324,1,Yes,13,3,80,1,2,1,0,0,0,18 - 30,<5k
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,23,Female,78,Manager,Married,15427,22021,2,No,16,3,80,31,3,25,8,3,7,51 - 64,15k+
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,24,Male,45,Research Scientist,Single,3944,4306,5,Yes,11,3,80,6,3,3,2,1,2,31 - 40,<5k
24,No,Non-Travel,673,Research & Development,11,2,Other,26,Female,96,Manufacturing Director,Divorced,4011,8232,0,No,18,3,80,5,5,4,2,1,3,18 - 30,<5k
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,27,Male,82,Sales Representative,Single,3407,6986,7,No,23,4,80,10,4,5,3,0,3,31 - 40,<5k
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,28,Female,53,Research Director,Single,11994,21293,0,No,11,3,80,13,4,12,6,2,11,31 - 40,10k - 15k
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,30,Male,96,Research Scientist,Single,1232,19281,1,No,14,3,80,0,6,0,0,0,0,18 - 30,<5k
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,31,Male,83,Research Scientist,Single,2960,17102,2,No,11,3,80,8,2,4,2,1,3,31 - 40,<5k
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,32,Female,58,Manager,Divorced,19094,10735,4,No,11,3,80,26,3,14,13,4,8,51 - 64,15k+
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,33,Female,72,Research Scientist,Single,3919,4681,1,Yes,22,4,80,10,5,10,2,6,7,31 - 40,<5k
42,No,Travel_Rarely,691,Sales,8,4,Marketing,35,Male,48,Sales Executive,Married,6825,21173,0,No,11,3,80,10,2,9,7,4,2,41 - 50,5k - 10k
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,36,Female,42,Healthcare Representative,Married,10248,2094,3,No,14,3,80,24,4,22,6,5,17,41 - 50,10k - 15k
46,No,Travel_Rarely,705,Sales,2,4,Marketing,38,Female,83,Manager,Single,18947,22822,3,No,12,3,80,22,2,2,2,2,1,41 - 50,15k+
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,39,Male,78,Laboratory Technician,Single,2496,6670,4,No,11,3,80,7,3,1,1,0,0,31 - 40,<5k
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,40,Male,41,Healthcare Representative,Married,6465,19121,2,Yes,13,3,80,9,5,4,2,1,3,41 - 50,5k - 10k
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,41,Male,83,Laboratory Technician,Single,2206,16117,1,No,13,3,80,10,5,10,0,1,8,18 - 30,<5k
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,42,Male,56,Sales Representative,Married,2086,3335,3,No,14,3,80,19,6,1,0,0,0,31 - 40,<5k
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,45,Male,61,Research Scientist,Married,2293,3020,2,Yes,16,3,80,6,2,2,0,2,0,18 - 30,<5k
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,46,Female,72,Research Scientist,Divorced,2645,21923,1,No,12,3,80,6,3,5,3,1,4,41 - 50,<5k
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,47,Male,86,Sales Representative,Married,2683,3810,1,Yes,14,3,80,3,2,3,2,0,2,41 - 50,<5k
35,No,Travel_Rarely,890,Sales,2,3,Marketing,49,Female,97,Sales Representative,Married,2014,9687,1,No,13,3,80,2,3,2,2,2,2,31 - 40,<5k
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,51,Female,82,Research Scientist,Married,3419,13072,9,Yes,14,3,80,6,3,1,1,0,0,31 - 40,<5k
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,52,Female,42,Sales Executive,Married,5376,3193,2,No,19,3,80,10,3,5,3,1,3,31 - 40,5k - 10k
35,No,Travel_Rarely,464,Research & Development,4,2,Other,53,Male,75,Laboratory Technician,Divorced,1951,10910,1,No,12,3,80,1,3,1,0,0,0,31 - 40,<5k
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,54,Female,33,Laboratory Technician,Divorced,2341,19715,1,No,13,3,80,1,6,1,0,0,0,18 - 30,<5k
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,55,Male,48,Laboratory Technician,Single,2293,10558,1,No,12,3,80,1,2,1,0,0,1,18 - 30,<5k
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,56,Male,37,Sales Executive,Single,8726,2975,1,No,15,3,80,9,0,9,8,1,7,18 - 30,5k - 10k
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,57,Female,58,Laboratory Technician,Single,4011,10781,1,No,23,4,80,12,2,12,8,3,7,18 - 30,<5k
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,58,Female,49,Research Director,Married,19545,16280,1,No,12,3,80,23,0,22,15,15,8,41 - 50,15k+
34,No,Non-Travel,1065,Sales,23,4,Marketing,60,Male,72,Sales Executive,Single,4568,10034,0,No,20,4,80,10,2,9,5,8,7,31 - 40,<5k
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,61,Male,73,Research Scientist,Married,3022,10227,4,No,21,4,80,8,1,1,0,0,0,31 - 40,<5k
